name,category,school,1) Behjälplig,2) Obehjälplig,3) Oanvänd,subject,block
"Koll på materialet",Planera ditt lärande,Krokslätt,16,11,3,Engelska,Arton
"Koll på materialet",Planera ditt lärande,Landskrona,29,9,3,Svenska,Åtta
"Koll på materialet",Planera ditt lärande,Linköping,9,23,2,Matematik,Fyrtiofyra
"Koll på materialet",Planera ditt lärande,Lund,23,20,21,Franska,Nio
"Koll på materialet",Planera ditt lärande,Nacka,27,13,22,Tyska,Två
"Koll på materialet",Planera ditt lärande,Norrköping,16,3,26,Tyska,Tolv
"Koll på materialet",Planera ditt lärande,Nyköping,21,7,23,Engelska,Trettioåtta
"Koll på materialet",Planera ditt lärande,Saltsjöbaden,25,30,11,Matematik,Femton
"Koll på materialet",Planera ditt lärande,Spånga,24,30,11,Tyska,Två
"Koll på materialet",Planera ditt lärande,Trelleborg,15,14,16,Engelska,Tjugotvå
"Koll på materialet",Planera ditt lärande,Tumba,10,17,19,Engelska,Fyrtio
"Koll på materialet",Planera ditt lärande,Tyresö,7,5,2,Franska,Tjugonio
"Koll på materialet",Planera ditt lärande,Täby,25,16,19,Tyska,Tjugo
"Koll på materialet",Planera ditt lärande,Uppsala,20,5,27,Matematik,Tjugotvå
"Koll på materialet",Planera ditt lärande,Uppsala Norra,29,22,27,Spanska,Nitton
"Koll på materialet",Planera ditt lärande,Varberg,27,19,23,Tyska,Fyrtio
"Att ge kamratrespons",Analysera och reflektera,Borlänge,3,14,30,Matematik,Tolv
"Att ge kamratrespons",Analysera och reflektera,Borås,2,18,21,Franska,Fyrtiofyra
"Att ge kamratrespons",Analysera och reflektera,Enköping,4,11,16,Spanska,Tio
"Att ge kamratrespons",Analysera och reflektera,Enskede,11,18,25,Engelska,Tjugosex
"Att ge kamratrespons",Analysera och reflektera,Fruängen,4,11,13,Engelska,Fjorton
"Att ge kamratrespons",Analysera och reflektera,Gävle,11,26,27,Matematik,Trettioett
"Att ge kamratrespons",Analysera och reflektera,Helsingborg,12,22,24,Spanska,Sex
"Att ge kamratrespons",Analysera och reflektera,Jönköping,9,24,30,Matematik,Tjugofyra
"Att ge kamratrespons",Analysera och reflektera,Katrineholm,15,17,19,Engelska,Två
"Att ge kamratrespons",Analysera och reflektera,Krokslätt,4,8,16,Spanska,Tjugosju
"Att ge kamratrespons",Analysera och reflektera,Landskrona,9,10,25,Engelska,Tjugotre
"Att ge kamratrespons",Analysera och reflektera,Linköping,2,21,27,Svenska,Sex
"Att ge kamratrespons",Analysera och reflektera,Lund,2,3,10,Svenska,Fyrtiofem
"Att ge kamratrespons",Analysera och reflektera,Nacka,9,26,30,Svenska,Tjugonio
"Att ge kamratrespons",Analysera och reflektera,Norrköping,3,8,18,Spanska,Fyrtiotvå
"Att ge kamratrespons",Analysera och reflektera,Nyköping,9,22,28,Tyska,Trettio
"Att ge kamratrespons",Analysera och reflektera,Saltsjöbaden,6,21,30,Engelska,Trettiotvå
"Att ge kamratrespons",Analysera och reflektera,Spånga,3,15,24,Svenska,Sex
"Att ge kamratrespons",Analysera och reflektera,Trelleborg,4,15,25,Franska,Trettiosju
"Att ge kamratrespons",Analysera och reflektera,Tumba,10,11,17,Svenska,Trettio
"Att ge kamratrespons",Analysera och reflektera,Tyresö,4,9,16,Matematik,Sexton
"Att ge kamratrespons",Analysera och reflektera,Täby,1,5,22,Engelska,Femton
"Att ge kamratrespons",Analysera och reflektera,Uppsala,3,13,27,Spanska,Tjugoåtta
"Att ge kamratrespons",Analysera och reflektera,Uppsala Norra,8,18,23,Spanska,Fyra
"Att ge kamratrespons",Analysera och reflektera,Varberg,14,26,28,Tyska,Trettiotvå
"Reflektera över matematiska lösningar",Analysera och reflektera,Borlänge,11,12,18,Tyska,Tjugosju
"Reflektera över matematiska lösningar",Analysera och reflektera,Borås,3,18,21,Svenska,Fjorton
"Reflektera över matematiska lösningar",Analysera och reflektera,Enköping,11,22,28,Matematik,Fyrtiofem
"Reflektera över matematiska lösningar",Analysera och reflektera,Enskede,11,15,16,Spanska,Tjugo
"Reflektera över matematiska lösningar",Analysera och reflektera,Fruängen,7,9,24,Spanska,Tjugosju
"Reflektera över matematiska lösningar",Analysera och reflektera,Gävle,4,5,20,Spanska,Trettiofyra
"Reflektera över matematiska lösningar",Analysera och reflektera,Helsingborg,2,6,9,Tyska,Tjugosex
"Reflektera över matematiska lösningar",Analysera och reflektera,Jönköping,19,21,26,Svenska,Nitton
"Reflektera över matematiska lösningar",Analysera och reflektera,Katrineholm,7,11,29,Franska,Fyrtiotre
"Reflektera över matematiska lösningar",Analysera och reflektera,Krokslätt,7,13,16,Spanska,Tjugoett
"Reflektera över matematiska lösningar",Analysera och reflektera,Landskrona,1,15,18,Engelska,Fyrtio
"Reflektera över matematiska lösningar",Analysera och reflektera,Linköping,3,14,22,Matematik,Tretton
"Reflektera över matematiska lösningar",Analysera och reflektera,Lund,1,6,18,Svenska,Arton
"Reflektera över matematiska lösningar",Analysera och reflektera,Nacka,1,20,30,Matematik,Fyrtiotre
"Reflektera över matematiska lösningar",Analysera och reflektera,Norrköping,8,9,18,Engelska,Tjugoett
"Reflektera över matematiska lösningar",Analysera och reflektera,Nyköping,7,10,20,Matematik,Fyrtioett
"Reflektera över matematiska lösningar",Analysera och reflektera,Saltsjöbaden,2,11,14,Spanska,Trettiosex
"Reflektera över matematiska lösningar",Analysera och reflektera,Spånga,4,11,14,Tyska,Femton
"Reflektera över matematiska lösningar",Analysera och reflektera,Trelleborg,12,16,30,Svenska,Åtta
"Reflektera över matematiska lösningar",Analysera och reflektera,Tumba,12,16,18,Tyska,Femton
"Reflektera över matematiska lösningar",Analysera och reflektera,Tyresö,5,10,15,Svenska,Tretton
"Reflektera över matematiska lösningar",Analysera och reflektera,Täby,22,27,28,Matematik,Tjugotre
"Reflektera över matematiska lösningar",Analysera och reflektera,Uppsala,3,21,27,Svenska,Fyrtiotvå
"Reflektera över matematiska lösningar",Analysera och reflektera,Uppsala Norra,3,15,21,Svenska,Nitton
"Reflektera över matematiska lösningar",Analysera och reflektera,Varberg,12,27,28,Tyska,Fem
"Självobservation",Analysera och reflektera,Borlänge,12,15,23,Spanska,Trettiotvå
"Självobservation",Analysera och reflektera,Borås,5,15,30,Spanska,Tjugosju
"Självobservation",Analysera och reflektera,Enköping,13,21,26,Matematik,Fjorton
"Självobservation",Analysera och reflektera,Enskede,17,25,29,Tyska,Tolv
"Självobservation",Analysera och reflektera,Fruängen,6,8,9,Franska,Fyrtiotre
"Självobservation",Analysera och reflektera,Gävle,6,13,24,Engelska,Sexton
"Självobservation",Analysera och reflektera,Helsingborg,3,7,24,Franska,Fyrtiofyra
"Självobservation",Analysera och reflektera,Jönköping,8,14,17,Tyska,Fyrtio
"Självobservation",Analysera och reflektera,Katrineholm,1,7,15,Franska,Sexton
"Självobservation",Analysera och reflektera,Krokslätt,15,25,28,Matematik,Tjugofyra
"Självobservation",Analysera och reflektera,Landskrona,4,6,23,Franska,Nio
"Självobservation",Analysera och reflektera,Linköping,1,2,30,Matematik,Trettiotre
"Självobservation",Analysera och reflektera,Lund,3,6,27,Franska,Fyrtiofem
"Självobservation",Analysera och reflektera,Nacka,15,20,30,Spanska,Tjugosex
"Självobservation",Analysera och reflektera,Norrköping,1,12,19,Tyska,Tjugotre
"Självobservation",Analysera och reflektera,Nyköping,1,8,23,Spanska,Ett
"Självobservation",Analysera och reflektera,Saltsjöbaden,4,16,24,Engelska,Trettioett
"Självobservation",Analysera och reflektera,Spånga,16,17,30,Tyska,Trettiotre
"Självobservation",Analysera och reflektera,Trelleborg,15,21,24,Svenska,Ett
"Självobservation",Analysera och reflektera,Tumba,7,19,29,Engelska,Tjugonio
"Självobservation",Analysera och reflektera,Tyresö,1,18,28,Svenska,Tretton
"Självobservation",Analysera och reflektera,Täby,16,17,22,Matematik,Trettiosex
"Självobservation",Analysera och reflektera,Uppsala,1,6,24,Matematik,Tretton
"Självobservation",Analysera och reflektera,Uppsala Norra,5,7,17,Engelska,Trettiofyra
"Självobservation",Analysera och reflektera,Varberg,1,8,28,Svenska,Sex
"Bra appar för bättre fokus",Appar och tillägg,Borlänge,1,5,20,Matematik,Nitton
"Bra appar för bättre fokus",Appar och tillägg,Borås,16,18,20,Spanska,Tjugofem
"Bra appar för bättre fokus",Appar och tillägg,Enköping,14,27,29,Franska,Ett
"Bra appar för bättre fokus",Appar och tillägg,Enskede,12,25,27,Engelska,Trettioett
"Bra appar för bättre fokus",Appar och tillägg,Fruängen,5,19,29,Spanska,Tio
"Bra appar för bättre fokus",Appar och tillägg,Gävle,3,8,19,Svenska,Sjutton
"Bra appar för bättre fokus",Appar och tillägg,Helsingborg,18,19,27,Tyska,Tjugoett
"Bra appar för bättre fokus",Appar och tillägg,Jönköping,7,16,29,Tyska,Fyra
"Bra appar för bättre fokus",Appar och tillägg,Katrineholm,17,28,29,Matematik,Trettiofyra
"Bra appar för bättre fokus",Appar och tillägg,Krokslätt,1,14,27,Franska,Åtta
"Bra appar för bättre fokus",Appar och tillägg,Landskrona,4,18,20,Engelska,Trettiotre
"Bra appar för bättre fokus",Appar och tillägg,Linköping,9,12,23,Engelska,Trettioett
"Bra appar för bättre fokus",Appar och tillägg,Lund,5,9,10,Franska,Sex
"Bra appar för bättre fokus",Appar och tillägg,Nacka,15,18,29,Engelska,Ett
"Bra appar för bättre fokus",Appar och tillägg,Norrköping,7,9,14,Matematik,Sju
"Bra appar för bättre fokus",Appar och tillägg,Nyköping,5,16,21,Tyska,Fjorton
"Bra appar för bättre fokus",Appar och tillägg,Saltsjöbaden,10,11,15,Tyska,Åtta
"Bra appar för bättre fokus",Appar och tillägg,Spånga,4,15,27,Matematik,Fyrtiofem
"Bra appar för bättre fokus",Appar och tillägg,Trelleborg,25,27,28,Engelska,Tjugoett
"Bra appar för bättre fokus",Appar och tillägg,Tumba,4,8,15,Matematik,Tjugoåtta
"Bra appar för bättre fokus",Appar och tillägg,Tyresö,3,8,30,Franska,Trettiosju
"Bra appar för bättre fokus",Appar och tillägg,Täby,9,16,23,Franska,Ett
"Bra appar för bättre fokus",Appar och tillägg,Uppsala,25,26,30,Franska,Trettiotvå
"Bra appar för bättre fokus",Appar och tillägg,Uppsala Norra,15,17,29,Matematik,Elva
"Bra appar för bättre fokus",Appar och tillägg,Varberg,9,21,27,Tyska,Tjugosex
"Belöningar",Hitta motivationen,Borlänge,11,25,28,Engelska,Femton
"Belöningar",Hitta motivationen,Borås,5,14,21,Tyska,Trettiosju
"Belöningar",Hitta motivationen,Enköping,12,18,25,Spanska,Sexton
"Belöningar",Hitta motivationen,Enskede,5,13,20,Tyska,Trettioåtta
"Belöningar",Hitta motivationen,Fruängen,8,20,28,Svenska,Tjugotvå
"Belöningar",Hitta motivationen,Gävle,9,19,29,Tyska,Trettio
"Belöningar",Hitta motivationen,Helsingborg,12,27,28,Matematik,Fyrtioett
"Belöningar",Hitta motivationen,Jönköping,2,14,28,Matematik,Trettioett
"Belöningar",Hitta motivationen,Katrineholm,1,8,14,Franska,Åtta
"Belöningar",Hitta motivationen,Krokslätt,9,12,29,Spanska,Tjugotre
"Belöningar",Hitta motivationen,Landskrona,17,19,21,Engelska,Trettioett
"Belöningar",Hitta motivationen,Linköping,13,20,30,Spanska,Fyrtiofem
"Belöningar",Hitta motivationen,Lund,22,23,25,Svenska,Trettiosju
"Belöningar",Hitta motivationen,Nacka,2,10,21,Franska,Fyra
"Belöningar",Hitta motivationen,Norrköping,5,6,12,Spanska,Sexton
"Belöningar",Hitta motivationen,Nyköping,12,20,24,Matematik,Tolv
"Belöningar",Hitta motivationen,Saltsjöbaden,2,9,24,Spanska,Sjutton
"Belöningar",Hitta motivationen,Spånga,5,19,25,Franska,Trettioett
"Belöningar",Hitta motivationen,Trelleborg,1,7,25,Franska,Tio
"Belöningar",Hitta motivationen,Tumba,7,14,23,Tyska,Sexton
"Belöningar",Hitta motivationen,Tyresö,2,9,14,Engelska,Femton
"Belöningar",Hitta motivationen,Täby,9,15,19,Tyska,Fjorton
"Belöningar",Hitta motivationen,Uppsala,5,18,29,Svenska,Tre
"Belöningar",Hitta motivationen,Uppsala Norra,3,19,22,Svenska,Tjugofem
"Belöningar",Hitta motivationen,Varberg,3,12,13,Franska,Trettioett
"Gör en sak i taget",Hitta motivationen,Borlänge,2,24,25,Engelska,Tjugonio
"Gör en sak i taget",Hitta motivationen,Borås,17,21,24,Svenska,Trettiofyra
"Gör en sak i taget",Hitta motivationen,Enköping,4,12,16,Franska,Fyrtioett
"Gör en sak i taget",Hitta motivationen,Enskede,8,10,26,Svenska,Trettiosju
"Gör en sak i taget",Hitta motivationen,Fruängen,7,18,21,Svenska,Trettio
"Gör en sak i taget",Hitta motivationen,Gävle,2,13,14,Matematik,Fem
"Gör en sak i taget",Hitta motivationen,Helsingborg,5,11,14,Spanska,Två
"Gör en sak i taget",Hitta motivationen,Jönköping,2,14,18,Franska,Elva
"Gör en sak i taget",Hitta motivationen,Katrineholm,5,17,23,Matematik,Nitton
"Gör en sak i taget",Hitta motivationen,Krokslätt,9,17,28,Franska,Arton
"Gör en sak i taget",Hitta motivationen,Landskrona,3,15,23,Matematik,Tjugosex
"Gör en sak i taget",Hitta motivationen,Linköping,14,26,27,Spanska,Sex
"Gör en sak i taget",Hitta motivationen,Lund,25,27,28,Spanska,Nitton
"Gör en sak i taget",Hitta motivationen,Nacka,11,17,20,Svenska,Tjugonio
"Gör en sak i taget",Hitta motivationen,Norrköping,17,19,26,Franska,Tolv
"Gör en sak i taget",Hitta motivationen,Nyköping,2,18,29,Engelska,Tretton
"Gör en sak i taget",Hitta motivationen,Saltsjöbaden,15,20,23,Franska,Arton
"Gör en sak i taget",Hitta motivationen,Spånga,8,10,19,Svenska,Sex
"Gör en sak i taget",Hitta motivationen,Trelleborg,17,20,27,Tyska,Tio
"Gör en sak i taget",Hitta motivationen,Tumba,9,11,22,Spanska,Trettiotre
"Gör en sak i taget",Hitta motivationen,Tyresö,15,20,26,Engelska,Tio
"Gör en sak i taget",Hitta motivationen,Täby,14,20,23,Svenska,Tio
"Gör en sak i taget",Hitta motivationen,Uppsala,3,11,22,Franska,Fyrtiofem
"Gör en sak i taget",Hitta motivationen,Uppsala Norra,3,17,21,Engelska,Fyrtiofyra
"Gör en sak i taget",Hitta motivationen,Varberg,3,14,22,Tyska,Trettiofem
"Gör det bara",Hitta motivationen,Borlänge,13,14,29,Svenska,Tjugoåtta
"Gör det bara",Hitta motivationen,Borås,8,16,21,Engelska,Trettiosju
"Gör det bara",Hitta motivationen,Enköping,11,23,29,Spanska,Sex
"Gör det bara",Hitta motivationen,Enskede,2,6,30,Matematik,Trettiosex
"Gör det bara",Hitta motivationen,Fruängen,3,22,29,Matematik,Tjugonio
"Gör det bara",Hitta motivationen,Gävle,1,3,30,Engelska,Tjugonio
"Gör det bara",Hitta motivationen,Helsingborg,18,19,24,Svenska,Åtta
"Gör det bara",Hitta motivationen,Jönköping,4,21,29,Engelska,Tjugofyra
"Gör det bara",Hitta motivationen,Katrineholm,12,17,18,Franska,Nitton
"Gör det bara",Hitta motivationen,Krokslätt,2,3,24,Svenska,Fem
"Gör det bara",Hitta motivationen,Landskrona,18,19,30,Svenska,Tjugosex
"Gör det bara",Hitta motivationen,Linköping,6,12,20,Svenska,Sexton
"Gör det bara",Hitta motivationen,Lund,1,10,18,Engelska,Tjugofyra
"Gör det bara",Hitta motivationen,Nacka,4,18,21,Matematik,Trettio
"Gör det bara",Hitta motivationen,Norrköping,4,15,30,Franska,Fyrtiotre
"Gör det bara",Hitta motivationen,Nyköping,4,12,23,Engelska,Fyrtiofem
"Gör det bara",Hitta motivationen,Saltsjöbaden,2,14,23,Svenska,Tretton
"Gör det bara",Hitta motivationen,Spånga,11,14,21,Franska,Sex
"Gör det bara",Hitta motivationen,Trelleborg,9,10,15,Spanska,Fyrtioett
"Gör det bara",Hitta motivationen,Tumba,8,20,27,Franska,Fyrtiofyra
"Gör det bara",Hitta motivationen,Tyresö,16,24,30,Svenska,Femton
"Gör det bara",Hitta motivationen,Täby,8,10,28,Franska,Fyrtio
"Gör det bara",Hitta motivationen,Uppsala,4,16,23,Tyska,Nitton
"Gör det bara",Hitta motivationen,Uppsala Norra,9,15,27,Matematik,Arton
"Gör det bara",Hitta motivationen,Varberg,1,7,22,Matematik,Tjugotvå
"Gör uppgiften till din",Hitta motivationen,Borlänge,8,13,24,Matematik,Trettio
"Gör uppgiften till din",Hitta motivationen,Borås,11,22,27,Svenska,Fyrtio
"Gör uppgiften till din",Hitta motivationen,Enköping,8,15,27,Engelska,Åtta
"Gör uppgiften till din",Hitta motivationen,Enskede,7,16,30,Engelska,Fyrtiofem
"Gör uppgiften till din",Hitta motivationen,Fruängen,1,12,15,Franska,Fyrtiofyra
"Gör uppgiften till din",Hitta motivationen,Gävle,5,8,25,Franska,Trettio
"Gör uppgiften till din",Hitta motivationen,Helsingborg,1,4,15,Engelska,Tjugofem
"Gör uppgiften till din",Hitta motivationen,Jönköping,6,16,19,Engelska,Sexton
"Gör uppgiften till din",Hitta motivationen,Katrineholm,16,22,27,Tyska,Fyra
"Gör uppgiften till din",Hitta motivationen,Krokslätt,2,14,23,Matematik,Tjugoett
"Gör uppgiften till din",Hitta motivationen,Landskrona,3,13,26,Matematik,Tjugotre
"Gör uppgiften till din",Hitta motivationen,Linköping,6,15,17,Franska,Två
"Gör uppgiften till din",Hitta motivationen,Lund,4,23,26,Franska,Sexton
"Gör uppgiften till din",Hitta motivationen,Nacka,15,24,28,Engelska,Fyrtiotvå
"Gör uppgiften till din",Hitta motivationen,Norrköping,4,16,23,Franska,Tjugoett
"Gör uppgiften till din",Hitta motivationen,Nyköping,7,18,21,Tyska,Tio
"Gör uppgiften till din",Hitta motivationen,Saltsjöbaden,2,14,29,Franska,Fyrtiofem
"Gör uppgiften till din",Hitta motivationen,Spånga,3,10,23,Engelska,Trettio
"Gör uppgiften till din",Hitta motivationen,Trelleborg,1,6,18,Matematik,Fem
"Gör uppgiften till din",Hitta motivationen,Tumba,7,10,13,Engelska,Fyrtiotre
"Gör uppgiften till din",Hitta motivationen,Tyresö,2,14,28,Spanska,Fyrtioett
"Gör uppgiften till din",Hitta motivationen,Täby,14,25,30,Tyska,Tre
"Gör uppgiften till din",Hitta motivationen,Uppsala,5,11,24,Spanska,Fem
"Gör uppgiften till din",Hitta motivationen,Uppsala Norra,7,19,29,Franska,Trettiosju
"Gör uppgiften till din",Hitta motivationen,Varberg,11,24,26,Matematik,Tjugotvå
"30minutersmetoden",Hitta studiefokus,Borlänge,9,11,12,Tyska,Tjugotre
"30minutersmetoden",Hitta studiefokus,Borås,11,13,26,Svenska,Fyrtioett
"30minutersmetoden",Hitta studiefokus,Enköping,9,10,11,Tyska,Fyrtiofem
"30minutersmetoden",Hitta studiefokus,Enskede,6,11,26,Matematik,Tio
"30minutersmetoden",Hitta studiefokus,Fruängen,7,13,30,Matematik,Sexton
"30minutersmetoden",Hitta studiefokus,Gävle,1,15,24,Engelska,Tjugosex
"30minutersmetoden",Hitta studiefokus,Helsingborg,14,18,22,Engelska,Tjugosju
"30minutersmetoden",Hitta studiefokus,Jönköping,6,18,27,Tyska,Sju
"30minutersmetoden",Hitta studiefokus,Katrineholm,1,12,13,Spanska,Nitton
"30minutersmetoden",Hitta studiefokus,Krokslätt,20,21,29,Tyska,Sju
"30minutersmetoden",Hitta studiefokus,Landskrona,7,15,18,Tyska,Tjugosju
"30minutersmetoden",Hitta studiefokus,Linköping,7,12,13,Engelska,Trettiosex
"30minutersmetoden",Hitta studiefokus,Lund,17,20,30,Spanska,Fjorton
"30minutersmetoden",Hitta studiefokus,Nacka,6,7,21,Spanska,Åtta
"30minutersmetoden",Hitta studiefokus,Norrköping,2,5,28,Franska,Tjugotvå
"30minutersmetoden",Hitta studiefokus,Nyköping,4,8,24,Spanska,Fyrtiofyra
"30minutersmetoden",Hitta studiefokus,Saltsjöbaden,17,19,21,Matematik,Nitton
"30minutersmetoden",Hitta studiefokus,Spånga,22,24,30,Matematik,Tjugosju
"30minutersmetoden",Hitta studiefokus,Trelleborg,4,17,22,Engelska,Tio
"30minutersmetoden",Hitta studiefokus,Tumba,8,14,17,Svenska,Nio
"30minutersmetoden",Hitta studiefokus,Tyresö,7,20,22,Engelska,Tre
"30minutersmetoden",Hitta studiefokus,Täby,8,15,24,Engelska,Trettiosex
"30minutersmetoden",Hitta studiefokus,Uppsala,15,21,25,Matematik,Fyrtiofyra
"30minutersmetoden",Hitta studiefokus,Uppsala Norra,5,19,30,Franska,Tjugonio
