name,category,school,Behjälplig,Obehjälplig,Oanvänd
"Självobservation",Analysera och reflektera,Krokslätt,15,25,28
"Självobservation",Analysera och reflektera,Landskrona,4,6,23
"Självobservation",Analysera och reflektera,Linköping,1,2,30
"Självobservation",Analysera och reflektera,Lund,3,6,27
"Självobservation",Analysera och reflektera,Nacka,15,20,30
"Självobservation",Analysera och reflektera,Norrköping,1,12,19
"Självobservation",Analysera och reflektera,Nyköping,1,8,23
"Självobservation",Analysera och reflektera,Saltsjöbaden,4,16,24
"Självobservation",Analysera och reflektera,Spånga,16,17,30
"Självobservation",Analysera och reflektera,Trelleborg,15,21,24
"Självobservation",Analysera och reflektera,Tumba,7,19,29
"Självobservation",Analysera och reflektera,Tyresö,1,18,28
"Självobservation",Analysera och reflektera,Täby,16,17,22
"Självobservation",Analysera och reflektera,Uppsala,1,6,24
"Självobservation",Analysera och reflektera,Uppsala Norra,5,7,17
"Självobservation",Analysera och reflektera,Varberg,1,8,28
"Bra appar för bättre fokus",Appar och tillägg,Borlänge,1,5,20
"Bra appar för bättre fokus",Appar och tillägg,Borås,16,18,20
"Bra appar för bättre fokus",Appar och tillägg,Enköping,14,27,29
"Bra appar för bättre fokus",Appar och tillägg,Enskede,12,25,27
"Bra appar för bättre fokus",Appar och tillägg,Fruängen,5,19,29
"Bra appar för bättre fokus",Appar och tillägg,Gävle,3,8,19
"Bra appar för bättre fokus",Appar och tillägg,Helsingborg,18,19,27
"Bra appar för bättre fokus",Appar och tillägg,Jönköping,7,16,29
"Bra appar för bättre fokus",Appar och tillägg,Katrineholm,17,28,29
"Bra appar för bättre fokus",Appar och tillägg,Krokslätt,1,14,27
"Bra appar för bättre fokus",Appar och tillägg,Landskrona,4,18,20
"Bra appar för bättre fokus",Appar och tillägg,Linköping,9,12,23
"Bra appar för bättre fokus",Appar och tillägg,Lund,5,9,10
"Bra appar för bättre fokus",Appar och tillägg,Nacka,15,18,29
"Bra appar för bättre fokus",Appar och tillägg,Norrköping,7,9,14
"Bra appar för bättre fokus",Appar och tillägg,Nyköping,5,16,21
"Bra appar för bättre fokus",Appar och tillägg,Saltsjöbaden,10,11,15
"Bra appar för bättre fokus",Appar och tillägg,Spånga,4,15,27
"Bra appar för bättre fokus",Appar och tillägg,Trelleborg,25,27,28
"Bra appar för bättre fokus",Appar och tillägg,Tumba,4,8,15
"Bra appar för bättre fokus",Appar och tillägg,Tyresö,3,8,30
"Bra appar för bättre fokus",Appar och tillägg,Täby,9,16,23
"Bra appar för bättre fokus",Appar och tillägg,Uppsala,25,26,30
"Bra appar för bättre fokus",Appar och tillägg,Uppsala Norra,15,17,29
"Bra appar för bättre fokus",Appar och tillägg,Varberg,9,21,27
"Belöningar",Hitta motivationen,Borlänge,11,25,28
"Belöningar",Hitta motivationen,Borås,5,14,21
"Belöningar",Hitta motivationen,Enköping,12,18,25
"Belöningar",Hitta motivationen,Enskede,5,13,20
"Belöningar",Hitta motivationen,Fruängen,8,20,28
"Belöningar",Hitta motivationen,Gävle,9,19,29
"Belöningar",Hitta motivationen,Helsingborg,12,27,28
"Belöningar",Hitta motivationen,Jönköping,2,14,28
"Belöningar",Hitta motivationen,Katrineholm,1,8,14
"Belöningar",Hitta motivationen,Krokslätt,9,12,29
"Belöningar",Hitta motivationen,Landskrona,17,19,21
"Belöningar",Hitta motivationen,Linköping,13,20,30
"Belöningar",Hitta motivationen,Lund,22,23,25
"Belöningar",Hitta motivationen,Nacka,2,10,21
"Belöningar",Hitta motivationen,Norrköping,5,6,12
"Belöningar",Hitta motivationen,Nyköping,12,20,24
"Belöningar",Hitta motivationen,Saltsjöbaden,2,9,24
"Belöningar",Hitta motivationen,Spånga,5,19,25
"Belöningar",Hitta motivationen,Trelleborg,1,7,25
"Belöningar",Hitta motivationen,Tumba,7,14,23
"Belöningar",Hitta motivationen,Tyresö,2,9,14
"Belöningar",Hitta motivationen,Täby,9,15,19
"Belöningar",Hitta motivationen,Uppsala,5,18,29
"Belöningar",Hitta motivationen,Uppsala Norra,3,19,22
"Belöningar",Hitta motivationen,Varberg,3,12,13
"Gör en sak i taget",Hitta motivationen,Borlänge,2,24,25
"Gör en sak i taget",Hitta motivationen,Borås,17,21,24
"Gör en sak i taget",Hitta motivationen,Enköping,4,12,16
"Gör en sak i taget",Hitta motivationen,Enskede,8,10,26
"Gör en sak i taget",Hitta motivationen,Fruängen,7,18,21
"Gör en sak i taget",Hitta motivationen,Gävle,2,13,14
"Gör en sak i taget",Hitta motivationen,Helsingborg,5,11,14
"Gör en sak i taget",Hitta motivationen,Jönköping,2,14,18
"Gör en sak i taget",Hitta motivationen,Katrineholm,5,17,23
"Gör en sak i taget",Hitta motivationen,Krokslätt,9,17,28
"Gör en sak i taget",Hitta motivationen,Landskrona,3,15,23
"Gör en sak i taget",Hitta motivationen,Linköping,14,26,27
"Gör en sak i taget",Hitta motivationen,Lund,25,27,28
"Gör en sak i taget",Hitta motivationen,Nacka,11,17,20
"Gör en sak i taget",Hitta motivationen,Norrköping,17,19,26
"Gör en sak i taget",Hitta motivationen,Nyköping,2,18,29
"Gör en sak i taget",Hitta motivationen,Saltsjöbaden,15,20,23
"Gör en sak i taget",Hitta motivationen,Spånga,8,10,19
"Gör en sak i taget",Hitta motivationen,Trelleborg,17,20,27
"Gör en sak i taget",Hitta motivationen,Tumba,9,11,22
"Gör en sak i taget",Hitta motivationen,Tyresö,15,20,26
"Gör en sak i taget",Hitta motivationen,Täby,14,20,23
"Gör en sak i taget",Hitta motivationen,Uppsala,3,11,22
"Gör en sak i taget",Hitta motivationen,Uppsala Norra,3,17,21
"Gör en sak i taget",Hitta motivationen,Varberg,3,14,22
"Gör det bara",Hitta motivationen,Borlänge,13,14,29
"Gör det bara",Hitta motivationen,Borås,8,16,21
"Gör det bara",Hitta motivationen,Enköping,11,23,29
"Gör det bara",Hitta motivationen,Enskede,2,6,30
"Gör det bara",Hitta motivationen,Fruängen,3,22,29
"Gör det bara",Hitta motivationen,Gävle,1,3,30
"Gör det bara",Hitta motivationen,Helsingborg,18,19,24
"Gör det bara",Hitta motivationen,Jönköping,4,21,29
"Gör det bara",Hitta motivationen,Katrineholm,12,17,18
"Gör det bara",Hitta motivationen,Krokslätt,2,3,24
"Gör det bara",Hitta motivationen,Landskrona,18,19,30
"Gör det bara",Hitta motivationen,Linköping,6,12,20
"Gör det bara",Hitta motivationen,Lund,1,10,18
"Gör det bara",Hitta motivationen,Nacka,4,18,21
"Gör det bara",Hitta motivationen,Norrköping,4,15,30
"Gör det bara",Hitta motivationen,Nyköping,4,12,23
"Gör det bara",Hitta motivationen,Saltsjöbaden,2,14,23
"Gör det bara",Hitta motivationen,Spånga,11,14,21
"Gör det bara",Hitta motivationen,Trelleborg,9,10,15
"Gör det bara",Hitta motivationen,Tumba,8,20,27
"Gör det bara",Hitta motivationen,Tyresö,16,24,30
"Gör det bara",Hitta motivationen,Täby,8,10,28
"Gör det bara",Hitta motivationen,Uppsala,4,16,23
"Gör det bara",Hitta motivationen,Uppsala Norra,9,15,27
"Gör det bara",Hitta motivationen,Varberg,1,7,22
"Gör uppgiften till din",Hitta motivationen,Borlänge,8,13,24
"Gör uppgiften till din",Hitta motivationen,Borås,11,22,27
"Gör uppgiften till din",Hitta motivationen,Enköping,8,15,27
"Gör uppgiften till din",Hitta motivationen,Enskede,7,16,30
"Gör uppgiften till din",Hitta motivationen,Fruängen,1,12,15
"Gör uppgiften till din",Hitta motivationen,Gävle,5,8,25
"Gör uppgiften till din",Hitta motivationen,Helsingborg,1,4,15
"Gör uppgiften till din",Hitta motivationen,Jönköping,6,16,19
"Gör uppgiften till din",Hitta motivationen,Katrineholm,16,22,27
"Gör uppgiften till din",Hitta motivationen,Krokslätt,2,14,23
"Gör uppgiften till din",Hitta motivationen,Landskrona,3,13,26
"Gör uppgiften till din",Hitta motivationen,Linköping,6,15,17
"Gör uppgiften till din",Hitta motivationen,Lund,4,23,26
"Gör uppgiften till din",Hitta motivationen,Nacka,15,24,28
"Gör uppgiften till din",Hitta motivationen,Norrköping,4,16,23
"Gör uppgiften till din",Hitta motivationen,Nyköping,7,18,21
"Gör uppgiften till din",Hitta motivationen,Saltsjöbaden,2,14,29
"Gör uppgiften till din",Hitta motivationen,Spånga,3,10,23
"Gör uppgiften till din",Hitta motivationen,Trelleborg,1,6,18
"Gör uppgiften till din",Hitta motivationen,Tumba,7,10,13
"Gör uppgiften till din",Hitta motivationen,Tyresö,2,14,28
"Gör uppgiften till din",Hitta motivationen,Täby,14,25,30
"Gör uppgiften till din",Hitta motivationen,Uppsala,5,11,24
"Gör uppgiften till din",Hitta motivationen,Uppsala Norra,7,19,29
"Gör uppgiften till din",Hitta motivationen,Varberg,11,24,26
"30minutersmetoden",Hitta studiefokus,Borlänge,9,11,12
"30minutersmetoden",Hitta studiefokus,Borås,11,13,26
"30minutersmetoden",Hitta studiefokus,Enköping,9,10,11
"30minutersmetoden",Hitta studiefokus,Enskede,6,11,26
"30minutersmetoden",Hitta studiefokus,Fruängen,7,13,30
"30minutersmetoden",Hitta studiefokus,Gävle,1,15,24
"30minutersmetoden",Hitta studiefokus,Helsingborg,14,18,22
"30minutersmetoden",Hitta studiefokus,Jönköping,6,18,27
"30minutersmetoden",Hitta studiefokus,Katrineholm,1,12,13
"30minutersmetoden",Hitta studiefokus,Krokslätt,20,21,29
"30minutersmetoden",Hitta studiefokus,Landskrona,7,15,18
"30minutersmetoden",Hitta studiefokus,Linköping,7,12,13
"30minutersmetoden",Hitta studiefokus,Lund,17,20,30
"30minutersmetoden",Hitta studiefokus,Nacka,6,7,21
"30minutersmetoden",Hitta studiefokus,Norrköping,2,5,28
"30minutersmetoden",Hitta studiefokus,Nyköping,4,8,24
"30minutersmetoden",Hitta studiefokus,Saltsjöbaden,17,19,21
"30minutersmetoden",Hitta studiefokus,Spånga,22,24,30
"30minutersmetoden",Hitta studiefokus,Trelleborg,4,17,22
"30minutersmetoden",Hitta studiefokus,Tumba,8,14,17
"30minutersmetoden",Hitta studiefokus,Tyresö,7,20,22
"30minutersmetoden",Hitta studiefokus,Täby,8,15,24
"30minutersmetoden",Hitta studiefokus,Uppsala,15,21,25
"30minutersmetoden",Hitta studiefokus,Uppsala Norra,5,19,30
"30minutersmetoden",Hitta studiefokus,Varberg,4,25,26
"Att undvika att bli störd",Hitta studiefokus,Borlänge,15,16,12
"Att undvika att bli störd",Hitta studiefokus,Borås,29,18,25
"Att undvika att bli störd",Hitta studiefokus,Enköping,12,2,6
"Att undvika att bli störd",Hitta studiefokus,Enskede,2,7,12
"Att undvika att bli störd",Hitta studiefokus,Fruängen,20,18,9
"Att undvika att bli störd",Hitta studiefokus,Gävle,28,7,3
"Att undvika att bli störd",Hitta studiefokus,Helsingborg,30,29,27
"Att undvika att bli störd",Hitta studiefokus,Jönköping,30,3,28
"Att undvika att bli störd",Hitta studiefokus,Katrineholm,18,4,5
"Att undvika att bli störd",Hitta studiefokus,Krokslätt,10,7,22
"Att undvika att bli störd",Hitta studiefokus,Landskrona,30,22,3
"Att undvika att bli störd",Hitta studiefokus,Linköping,11,14,29
"Att undvika att bli störd",Hitta studiefokus,Lund,4,16,15
"Att undvika att bli störd",Hitta studiefokus,Nacka,1,10,28
"Att undvika att bli störd",Hitta studiefokus,Norrköping,15,18,24
"Att undvika att bli störd",Hitta studiefokus,Nyköping,9,8,20
"Att undvika att bli störd",Hitta studiefokus,Saltsjöbaden,20,21,22
"Att undvika att bli störd",Hitta studiefokus,Spånga,6,2,21
"Att undvika att bli störd",Hitta studiefokus,Trelleborg,14,18,22
"Att undvika att bli störd",Hitta studiefokus,Tumba,2,13,6
"Att undvika att bli störd",Hitta studiefokus,Tyresö,26,24,15
"Att undvika att bli störd",Hitta studiefokus,Täby,25,5,21
"Att undvika att bli störd",Hitta studiefokus,Uppsala,25,21,23
"Att undvika att bli störd",Hitta studiefokus,Uppsala Norra,3,16,18
"Att undvika att bli störd",Hitta studiefokus,Varberg,30,24,29
"Byt format",Hitta studiefokus,Borlänge,1,5,16
"Byt format",Hitta studiefokus,Borås,29,11,26
"Byt format",Hitta studiefokus,Enköping,10,23,7
"Byt format",Hitta studiefokus,Enskede,24,21,13
"Byt format",Hitta studiefokus,Fruängen,6,4,28
"Byt format",Hitta studiefokus,Gävle,21,19,3
"Byt format",Hitta studiefokus,Helsingborg,24,22,10
"Byt format",Hitta studiefokus,Jönköping,21,27,16
"Byt format",Hitta studiefokus,Katrineholm,15,1,5
"Byt format",Hitta studiefokus,Krokslätt,16,19,11
"Byt format",Hitta studiefokus,Landskrona,11,24,26
"Byt format",Hitta studiefokus,Linköping,29,7,9
"Byt format",Hitta studiefokus,Lund,27,22,9
"Byt format",Hitta studiefokus,Nacka,14,9,30
"Byt format",Hitta studiefokus,Norrköping,11,5,13
"Byt format",Hitta studiefokus,Nyköping,1,17,11
"Byt format",Hitta studiefokus,Saltsjöbaden,7,25,12
"Byt format",Hitta studiefokus,Spånga,9,30,3
"Byt format",Hitta studiefokus,Trelleborg,9,18,23
"Byt format",Hitta studiefokus,Tumba,20,16,8
"Byt format",Hitta studiefokus,Tyresö,28,1,20
"Byt format",Hitta studiefokus,Täby,4,13,12
"Byt format",Hitta studiefokus,Uppsala,5,25,16
"Byt format",Hitta studiefokus,Uppsala Norra,20,6,15
"Byt format",Hitta studiefokus,Varberg,9,13,30
"Håll fokus och skärp hela dagen",Hitta studiefokus,Borlänge,5,20,14
"Håll fokus och skärp hela dagen",Hitta studiefokus,Borås,18,22,6
"Håll fokus och skärp hela dagen",Hitta studiefokus,Enköping,13,23,12
"Håll fokus och skärp hela dagen",Hitta studiefokus,Enskede,29,7,12
"Håll fokus och skärp hela dagen",Hitta studiefokus,Fruängen,4,3,2
"Håll fokus och skärp hela dagen",Hitta studiefokus,Gävle,16,5,14
"Håll fokus och skärp hela dagen",Hitta studiefokus,Helsingborg,11,8,13
"Håll fokus och skärp hela dagen",Hitta studiefokus,Jönköping,2,30,14
"Håll fokus och skärp hela dagen",Hitta studiefokus,Katrineholm,22,1,2
"Håll fokus och skärp hela dagen",Hitta studiefokus,Krokslätt,8,9,11
"Håll fokus och skärp hela dagen",Hitta studiefokus,Landskrona,26,16,5
"Håll fokus och skärp hela dagen",Hitta studiefokus,Linköping,20,30,6
"Håll fokus och skärp hela dagen",Hitta studiefokus,Lund,19,28,27
"Håll fokus och skärp hela dagen",Hitta studiefokus,Nacka,29,16,22
"Håll fokus och skärp hela dagen",Hitta studiefokus,Norrköping,10,19,2
"Håll fokus och skärp hela dagen",Hitta studiefokus,Nyköping,21,9,10
"Håll fokus och skärp hela dagen",Hitta studiefokus,Saltsjöbaden,26,18,17
"Håll fokus och skärp hela dagen",Hitta studiefokus,Spånga,30,9,19
"Håll fokus och skärp hela dagen",Hitta studiefokus,Trelleborg,12,9,26
"Håll fokus och skärp hela dagen",Hitta studiefokus,Tumba,3,6,27
"Håll fokus och skärp hela dagen",Hitta studiefokus,Tyresö,13,10,28
"Håll fokus och skärp hela dagen",Hitta studiefokus,Täby,1,7,4
"Håll fokus och skärp hela dagen",Hitta studiefokus,Uppsala,14,10,11
"Håll fokus och skärp hela dagen",Hitta studiefokus,Uppsala Norra,13,18,2
"Håll fokus och skärp hela dagen",Hitta studiefokus,Varberg,19,29,24
"Lär dig prioritera",Hitta studiefokus,Borlänge,1,9,4
"Lär dig prioritera",Hitta studiefokus,Borås,13,2,7
"Lär dig prioritera",Hitta studiefokus,Enköping,9,1,30
"Lär dig prioritera",Hitta studiefokus,Enskede,22,5,23
"Lär dig prioritera",Hitta studiefokus,Fruängen,7,29,27
"Lär dig prioritera",Hitta studiefokus,Gävle,8,23,9
"Lär dig prioritera",Hitta studiefokus,Helsingborg,20,25,24
"Lär dig prioritera",Hitta studiefokus,Jönköping,25,2,5
"Lär dig prioritera",Hitta studiefokus,Katrineholm,18,9,12
"Lär dig prioritera",Hitta studiefokus,Krokslätt,29,10,11
"Lär dig prioritera",Hitta studiefokus,Landskrona,2,30,9
"Lär dig prioritera",Hitta studiefokus,Linköping,1,25,6
"Lär dig prioritera",Hitta studiefokus,Lund,29,15,28
"Lär dig prioritera",Hitta studiefokus,Nacka,5,23,11
"Lär dig prioritera",Hitta studiefokus,Norrköping,18,5,22
"Lär dig prioritera",Hitta studiefokus,Nyköping,28,15,14
"Lär dig prioritera",Hitta studiefokus,Saltsjöbaden,28,27,21
"Lär dig prioritera",Hitta studiefokus,Spånga,23,14,17
"Lär dig prioritera",Hitta studiefokus,Trelleborg,1,12,24
"Lär dig prioritera",Hitta studiefokus,Tumba,14,4,9
"Lär dig prioritera",Hitta studiefokus,Tyresö,24,2,22
"Lär dig prioritera",Hitta studiefokus,Täby,7,20,29
"Lär dig prioritera",Hitta studiefokus,Uppsala,18,4,21
"Lär dig prioritera",Hitta studiefokus,Uppsala Norra,26,29,6
"Lär dig prioritera",Hitta studiefokus,Varberg,22,9,13
"Läs ett stycke i taget",Hitta studiefokus,Borlänge,5,10,8
"Läs ett stycke i taget",Hitta studiefokus,Borås,25,1,20
"Läs ett stycke i taget",Hitta studiefokus,Enköping,2,19,20
"Läs ett stycke i taget",Hitta studiefokus,Enskede,18,8,20
"Läs ett stycke i taget",Hitta studiefokus,Fruängen,29,10,3
"Läs ett stycke i taget",Hitta studiefokus,Gävle,17,11,27
"Läs ett stycke i taget",Hitta studiefokus,Helsingborg,28,3,7
